im_name,init_method,colors,mse,aid,unique_mapping_time(s),init_point_selection_time(s),unique_demapping_time(s),k_means_time(s)
desk,random_mse,4,2856.049717537162,41.735752,25.617289989997516,0.04555079201236367,0.5849249160091858,1584.5994906425476
desk,random_aid,4,2856.049717537162,41.735752,25.617289989997516,0.04555079201236367,0.5849249160091858,1584.5994906425476
desk,fft,4,2859.5612717321414,41.389294,2.618235873997037,17.275919697000063,0.05867221399967093,131.9893982410431
desk,umdi,4,2873.97945078169,45.776623,2.5825114710023627,3.4837311059964122,0.0589255079976283,140.63273239135742
kirby_patineta,random_mse,4,6321.802848402706,129.63484,19.41625747800572,0.004360785009339452,0.492469289994915,25.610435962677002
kirby_patineta,random_aid,4,6408.351409523185,125.66031,19.41625747800572,0.004360785009339452,0.492469289994915,25.610435962677002
kirby_patineta,fft,4,6401.486875056132,133.94841,1.9361499049991835,0.0978839439994772,0.050785065002855845,2.4117062091827393
kirby_patineta,umdi,4,6404.454407654186,134.22568,1.93732641000679,0.019507744000293314,0.049064515995269176,2.4602930545806885
plantas,random_mse,4,2661.3780205026205,50.46743,34.10204911600886,0.028762479989381973,0.6784247709947522,4023.6202504634857
plantas,random_aid,4,2669.114538163865,50.247204,34.10204911600886,0.028762479989381973,0.6784247709947522,4023.6202504634857
plantas,fft,4,2663.8570247958737,50.91532,3.4430157780006994,36.94146905900561,0.06782043400016846,448.7157824039459
plantas,umdi,4,2664.027344917226,50.953842,3.411478497000644,7.255778480997833,0.06725945300422609,226.09609460830688
dog,random_mse,4,2608.092237949825,47.00845,27.24550232700858,0.017176891007693484,0.6103360899942345,1472.0757641792297
dog,random_aid,4,2614.6818789363765,46.81374,27.24550232700858,0.017176891007693484,0.6103360899942345,1472.0757641792297
dog,fft,4,2615.8218964937882,46.870975,2.7201314760022797,19.886157334003656,0.06167005699535366,190.70523762702942
dog,umdi,4,2610.640934423882,47.699062,2.7132678130001295,3.8221531259987387,0.060731454999768175,174.57574343681335
